                               Labor Force Data by County, 2018 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0112900000000   01     129   Washington County, AL                             2018         6,667        6,278        389      5.8
CN0113100000000   01     131   Wilcox County, AL                                 2018         2,734        2,472        262      9.6
CN0113300000000   01     133   Winston County, AL                                2018         9,781        9,371        410      4.2
CN0201300000000   02     013   Aleutians East Borough, AK                        2018         2,321        2,252         69      3.0
CN0201600000000   02     016   Aleutians West Census Area, AK                    2018         3,615        3,487        128      3.5
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2018       151,950      143,602      8,348      5.5
CN0205000000000   02     050   Bethel Census Area, AK                            2018         7,400        6,455        945     12.8
CN0206000000000   02     060   Bristol Bay Borough, AK                           2018           441          413         28      6.3
CN0206800000000   02     068   Denali Borough, AK                                2018         1,088        1,003         85      7.8
CN0207000000000   02     070   Dillingham Census Area, AK                        2018         2,027        1,861        166      8.2
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2018        46,101       43,426      2,675      5.8
CN0210000000000   02     100   Haines Borough, AK                                2018         1,092          988        104      9.5
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2018         1,158        1,012        146     12.6
CN0211000000000   02     110   Juneau Borough/city, AK                           2018        17,232       16,470        762      4.4
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2018        26,497       24,453      2,044      7.7
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2018         7,026        6,604        422      6.0
CN0215000000000   02     150   Kodiak Island Borough, AK                         2018         6,210        5,848        362      5.8
CN0215800000000   02     158   Kusilvak Census Area, AK                          2018         2,708        2,169        539     19.9
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2018           739          653         86     11.6
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2018        47,654       44,014      3,640      7.6
CN0218000000000   02     180   Nome Census Area, AK                              2018         4,113        3,636        477     11.6
CN0218500000000   02     185   North Slope Borough, AK                           2018         3,413        3,173        240      7.0
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2018         2,924        2,508        416     14.2
CN0219500000000   02     195   Petersburg Borough, AK                            2018         1,404        1,282        122      8.7
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2018         2,899        2,584        315     10.9
CN0222000000000   02     220   Sitka Borough/city, AK                            2018         4,408        4,225        183      4.2
CN0223000000000   02     230   Skagway Municipality, AK                          2018           836          754         82      9.8
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2018         2,940        2,658        282      9.6
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2018         4,849        4,488        361      7.4
CN0227500000000   02     275   Wrangell Borough/city, AK                         2018         1,051          977         74      7.0
CN0228200000000   02     282   Yakutat Borough/city, AK                          2018           245          225         20      8.2
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2018         2,545        2,156        389     15.3
CN0400100000000   04     001   Apache County, AZ                                 2018        20,665       18,585      2,080     10.1
CN0400300000000   04     003   Cochise County, AZ                                2018        49,774       46,985      2,789      5.6
CN0400500000000   04     005   Coconino County, AZ                               2018        77,083       72,850      4,233      5.5
CN0400700000000   04     007   Gila County, AZ                                   2018        21,518       20,251      1,267      5.9
CN0400900000000   04     009   Graham County, AZ                                 2018        14,878       14,114        764      5.1
CN0401100000000   04     011   Greenlee County, AZ                               2018         4,280        4,098        182      4.3
CN0401200000000   04     012   La Paz County, AZ                                 2018         8,938        8,381        557      6.2
CN0401300000000   04     013   Maricopa County, AZ                               2018     2,229,526    2,137,219     92,307      4.1
CN0401500000000   04     015   Mohave County, AZ                                 2018        85,442       80,508      4,934      5.8
CN0401700000000   04     017   Navajo County, AZ                                 2018        40,598       37,447      3,151      7.8
CN0401900000000   04     019   Pima County, AZ                                   2018       486,261      464,433     21,828      4.5
CN0402100000000   04     021   Pinal County, AZ                                  2018       178,216      169,264      8,952      5.0
CN0402300000000   04     023   Santa Cruz County, AZ                             2018        19,325       17,522      1,803      9.3
CN0402500000000   04     025   Yavapai County, AZ                                2018       105,618      100,899      4,719      4.5
CN0402700000000   04     027   Yuma County, AZ                                   2018        97,636       80,997     16,639     17.0
CN0500100000000   05     001   Arkansas County, AR                               2018         9,070        8,762        308      3.4
CN0500300000000   05     003   Ashley County, AR                                 2018         7,683        7,263        420      5.5
CN0500500000000   05     005   Baxter County, AR                                 2018        16,463       15,785        678      4.1
CN0500700000000   05     007   Benton County, AR                                 2018       134,404      130,532      3,872      2.9
CN0500900000000   05     009   Boone County, AR                                  2018        15,856       15,295        561      3.5
CN0501100000000   05     011   Bradley County, AR                                2018         4,362        4,166        196      4.5
CN0501300000000   05     013   Calhoun County, AR                                2018         2,404        2,310         94      3.9
CN0501500000000   05     015   Carroll County, AR                                2018        12,639       12,233        406      3.2
CN0501700000000   05     017   Chicot County, AR                                 2018         3,340        3,110        230      6.9
CN0501900000000   05     019   Clark County, AR                                  2018         9,580        9,214        366      3.8
CN0502100000000   05     021   Clay County, AR                                   2018         5,835        5,579        256      4.4
CN0502300000000   05     023   Cleburne County, AR                               2018         9,174        8,758        416      4.5
CN0502500000000   05     025   Cleveland County, AR                              2018         3,302        3,173        129      3.9
CN0502700000000   05     027   Columbia County, AR                               2018         8,991        8,562        429      4.8
CN0502900000000   05     029   Conway County, AR                                 2018         8,198        7,840        358      4.4
CN0503100000000   05     031   Craighead County, AR                              2018        54,120       52,462      1,658      3.1
CN0503300000000   05     033   Crawford County, AR                               2018        26,861       25,899        962      3.6
CN0503500000000   05     035   Crittenden County, AR                             2018        21,467       20,542        925      4.3
CN0503700000000   05     037   Cross County, AR                                  2018         7,441        7,131        310      4.2
CN0503900000000   05     039   Dallas County, AR                                 2018         2,811        2,687        124      4.4
CN0504100000000   05     041   Desha County, AR                                  2018         5,443        5,196        247      4.5
CN0504300000000   05     043   Drew County, AR                                   2018         7,757        7,369        388      5.0
CN0504500000000   05     045   Faulkner County, AR                               2018        61,476       59,460      2,016      3.3
CN0504700000000   05     047   Franklin County, AR                               2018         7,406        7,140        266      3.6
CN0504900000000   05     049   Fulton County, AR                                 2018         4,805        4,613        192      4.0
CN0505100000000   05     051   Garland County, AR                                2018        40,797       39,146      1,651      4.0
CN0505300000000   05     053   Grant County, AR                                  2018         8,321        8,062        259      3.1
CN0505500000000   05     055   Greene County, AR                                 2018        19,755       19,064        691      3.5
CN0505700000000   05     057   Hempstead County, AR                              2018         9,908        9,555        353      3.6
CN0505900000000   05     059   Hot Spring County, AR                             2018        13,993       13,466        527      3.8
CN0506100000000   05     061   Howard County, AR                                 2018         5,922        5,717        205      3.5
CN0506300000000   05     063   Independence County, AR                           2018        16,222       15,560        662      4.1
CN0506500000000   05     065   Izard County, AR                                  2018         4,869        4,599        270      5.5
CN0506700000000   05     067   Jackson County, AR                                2018         5,786        5,430        356      6.2
CN0506900000000   05     069   Jefferson County, AR                              2018        28,066       26,582      1,484      5.3
CN0507100000000   05     071   Johnson County, AR                                2018        10,445        9,972        473      4.5
CN0507300000000   05     073   Lafayette County, AR                              2018         2,497        2,366        131      5.2
CN0507500000000   05     075   Lawrence County, AR                               2018         6,858        6,589        269      3.9
CN0507700000000   05     077   Lee County, AR                                    2018         2,917        2,776        141      4.8
CN0507900000000   05     079   Lincoln County, AR                                2018         4,041        3,867        174      4.3
CN0508100000000   05     081   Little River County, AR                           2018         5,485        5,196        289      5.3
CN0508300000000   05     083   Logan County, AR                                  2018         8,749        8,396        353      4.0
CN0508500000000   05     085   Lonoke County, AR                                 2018        33,853       32,766      1,087      3.2
CN0508700000000   05     087   Madison County, AR                                2018         7,426        7,213        213      2.9
CN0508900000000   05     089   Marion County, AR                                 2018         6,506        6,237        269      4.1
CN0509100000000   05     091   Miller County, AR                                 2018        19,722       18,772        950      4.8
CN0509300000000   05     093   Mississippi County, AR                            2018        17,510       16,515        995      5.7
CN0509500000000   05     095   Monroe County, AR                                 2018         2,746        2,627        119      4.3
CN0509700000000   05     097   Montgomery County, AR                             2018         3,036        2,890        146      4.8
CN0509900000000   05     099   Nevada County, AR                                 2018         3,613        3,485        128      3.5
CN0510100000000   05     101   Newton County, AR                                 2018         3,312        3,200        112      3.4
CN0510300000000   05     103   Ouachita County, AR                               2018         9,755        9,301        454      4.7
CN0510500000000   05     105   Perry County, AR                                  2018         4,248        4,071        177      4.2
CN0510700000000   05     107   Phillips County, AR                               2018         6,608        6,202        406      6.1
CN0510900000000   05     109   Pike County, AR                                   2018         4,255        4,078        177      4.2
CN0511100000000   05     111   Poinsett County, AR                               2018        10,269        9,874        395      3.8
CN0511300000000   05     113   Polk County, AR                                   2018         8,003        7,670        333      4.2
CN0511500000000   05     115   Pope County, AR                                   2018        28,998       27,702      1,296      4.5
CN0511700000000   05     117   Prairie County, AR                                2018         3,568        3,429        139      3.9
CN0511900000000   05     119   Pulaski County, AR                                2018       189,210      182,612      6,598      3.5
CN0512100000000   05     121   Randolph County, AR                               2018         7,175        6,890        285      4.0
CN0512300000000   05     123   St. Francis County, AR                            2018         8,320        7,891        429      5.2
CN0512500000000   05     125   Saline County, AR                                 2018        57,716       55,923      1,793      3.1
CN0512700000000   05     127   Scott County, AR                                  2018         4,380        4,219        161      3.7
CN0512900000000   05     129   Searcy County, AR                                 2018         2,957        2,829        128      4.3
CN0513100000000   05     131   Sebastian County, AR                              2018        57,075       55,032      2,043      3.6
CN0513300000000   05     133   Sevier County, AR                                 2018         5,549        5,290        259      4.7
CN0513500000000   05     135   Sharp County, AR                                  2018         5,798        5,522        276      4.8
CN0513700000000   05     137   Stone County, AR                                  2018         4,801        4,583        218      4.5
CN0513900000000   05     139   Union County, AR                                  2018        15,960       15,074        886      5.6
CN0514100000000   05     141   Van Buren County, AR                              2018         5,921        5,610        311      5.3
CN0514300000000   05     143   Washington County, AR                             2018       122,569      119,378      3,191      2.6
CN0514500000000   05     145   White County, AR                                  2018        33,786       32,308      1,478      4.4
CN0514700000000   05     147   Woodruff County, AR                               2018         2,829        2,695        134      4.7
CN0514900000000   05     149   Yell County, AR                                   2018         8,505        8,148        357      4.2
CN0600100000000   06     001   Alameda County, CA                                2018       848,215      822,769     25,446      3.0
CN0600300000000   06     003   Alpine County, CA                                 2018           547          522         25      4.6
CN0600500000000   06     005   Amador County, CA                                 2018        14,706       14,117        589      4.0
CN0600700000000   06     007   Butte County, CA                                  2018       102,712       97,619      5,093      5.0
CN0600900000000   06     009   Calaveras County, CA                              2018        21,351       20,506        845      4.0
CN0601100000000   06     011   Colusa County, CA                                 2018        10,969        9,551      1,418     12.9
CN0601300000000   06     013   Contra Costa County, CA                           2018       564,570      546,778     17,792      3.2
CN0601500000000   06     015   Del Norte County, CA                              2018         9,961        9,412        549      5.5
CN0601700000000   06     017   El Dorado County, CA                              2018        91,589       88,319      3,270      3.6
CN0601900000000   06     019   Fresno County, CA                                 2018       448,353      414,926     33,427      7.5
CN0602100000000   06     021   Glenn County, CA                                  2018        12,779       11,944        835      6.5
CN0602300000000   06     023   Humboldt County, CA                               2018        63,027       60,782      2,245      3.6
CN0602500000000   06     025   Imperial County, CA                               2018        71,055       58,200     12,855     18.1
CN0602700000000   06     027   Inyo County, CA                                   2018         8,725        8,388        337      3.9
CN0602900000000   06     029   Kern County, CA                                   2018       386,997      356,132     30,865      8.0
CN0603100000000   06     031   Kings County, CA                                  2018        57,865       53,384      4,481      7.7
CN0603300000000   06     033   Lake County, CA                                   2018        29,116       27,594      1,522      5.2
CN0603500000000   06     035   Lassen County, CA                                 2018         9,899        9,425        474      4.8
CN0603700000000   06     037   Los Angeles County, CA                            2018     5,136,341    4,896,512    239,829      4.7
CN0603900000000   06     039   Madera County, CA                                 2018        61,528       57,212      4,316      7.0
CN0604100000000   06     041   Marin County, CA                                  2018       141,111      137,748      3,363      2.4
CN0604300000000   06     043   Mariposa County, CA                               2018         7,663        7,257        406      5.3
CN0604500000000   06     045   Mendocino County, CA                              2018        39,715       38,151      1,564      3.9
CN0604700000000   06     047   Merced County, CA                                 2018       115,408      105,834      9,574      8.3
CN0604900000000   06     049   Modoc County, CA                                  2018         3,179        2,939        240      7.5
CN0605100000000   06     051   Mono County, CA                                   2018         8,524        8,196        328      3.8
CN0605300000000   06     053   Monterey County, CA                               2018       224,057      210,010     14,047      6.3
CN0605500000000   06     055   Napa County, CA                                   2018        74,547       72,366      2,181      2.9
CN0605700000000   06     057   Nevada County, CA                                 2018        48,870       47,176      1,694      3.5
CN0605900000000   06     059   Orange County, CA                                 2018     1,625,426    1,577,885     47,541      2.9
CN0606100000000   06     061   Placer County, CA                                 2018       185,213      179,376      5,837      3.2
CN0606300000000   06     063   Plumas County, CA                                 2018         7,848        7,260        588      7.5
CN0606500000000   06     065   Riverside County, CA                              2018     1,092,371    1,044,563     47,808      4.4
CN0606700000000   06     067   Sacramento County, CA                             2018       710,442      683,494     26,948      3.8
CN0606900000000   06     069   San Benito County, CA                             2018        30,869       29,308      1,561      5.1
CN0607100000000   06     071   San Bernardino County, CA                         2018       961,030      922,251     38,779      4.0
CN0607300000000   06     073   San Diego County, CA                              2018     1,592,193    1,539,530     52,663      3.3
CN0607500000000   06     075   San Francisco County/city, CA                     2018       575,567      562,022     13,545      2.4
CN0607700000000   06     077   San Joaquin County, CA                            2018       326,387      306,816     19,571      6.0
CN0607900000000   06     079   San Luis Obispo County, CA                        2018       140,920      136,769      4,151      2.9
CN0608100000000   06     081   San Mateo County, CA                              2018       454,875      444,868     10,007      2.2
CN0608300000000   06     083   Santa Barbara County, CA                          2018       216,698      208,261      8,437      3.9
CN0608500000000   06     085   Santa Clara County, CA                            2018     1,048,804    1,021,522     27,282      2.6
CN0608700000000   06     087   Santa Cruz County, CA                             2018       142,618      135,634      6,984      4.9
CN0608900000000   06     089   Shasta County, CA                                 2018        74,215       70,546      3,669      4.9
CN0609100000000   06     091   Sierra County, CA                                 2018         1,278        1,201         77      6.0
CN0609300000000   06     093   Siskiyou County, CA                               2018        17,410       16,244      1,166      6.7
CN0609500000000   06     095   Solano County, CA                                 2018       209,721      201,553      8,168      3.9
CN0609700000000   06     097   Sonoma County, CA                                 2018       262,348      255,161      7,187      2.7
CN0609900000000   06     099   Stanislaus County, CA                             2018       243,538      227,940     15,598      6.4
CN0610100000000   06     101   Sutter County, CA                                 2018        45,477       42,085      3,392      7.5
CN0610300000000   06     103   Tehama County, CA                                 2018        25,626       24,176      1,450      5.7
CN0610500000000   06     105   Trinity County, CA                                2018         4,707        4,439        268      5.7
CN0610700000000   06     107   Tulare County, CA                                 2018       204,589      184,940     19,649      9.6
CN0610900000000   06     109   Tuolumne County, CA                               2018        21,339       20,357        982      4.6
CN0611100000000   06     111   Ventura County, CA                                2018       425,728      409,662     16,066      3.8
CN0611300000000   06     113   Yolo County, CA                                   2018       108,518      103,956      4,562      4.2
CN0611500000000   06     115   Yuba County, CA                                   2018        29,078       27,215      1,863      6.4
CN0800100000000   08     001   Adams County, CO                                  2018       269,911      260,542      9,369      3.5
CN0800300000000   08     003   Alamosa County, CO                                2018         8,447        8,095        352      4.2
CN0800500000000   08     005   Arapahoe County, CO                               2018       362,692      351,003     11,689      3.2
CN0800700000000   08     007   Archuleta County, CO                              2018         6,928        6,692        236      3.4
CN0800900000000   08     009   Baca County, CO                                   2018         2,229        2,188         41      1.8
CN0801100000000   08     011   Bent County, CO                                   2018         2,017        1,953         64      3.2
CN0801300000000   08     013   Boulder County, CO                                2018       193,822      188,303      5,519      2.8
CN0801400000000   08     014   Broomfield County/city, CO                        2018        39,816       38,651      1,165      2.9
CN0801500000000   08     015   Chaffee County, CO                                2018         9,708        9,447        261      2.7
CN0801700000000   08     017   Cheyenne County, CO                               2018         1,166        1,145         21      1.8
CN0801900000000   08     019   Clear Creek County, CO                            2018         6,075        5,891        184      3.0
CN0802100000000   08     021   Conejos County, CO                                2018         4,080        3,901        179      4.4
CN0802300000000   08     023   Costilla County, CO                               2018         1,910        1,828         82      4.3
CN0802500000000   08     025   Crowley County, CO                                2018         1,533        1,466         67      4.4
CN0802700000000   08     027   Custer County, CO                                 2018         2,106        2,029         77      3.7
CN0802900000000   08     029   Delta County, CO                                  2018        14,851       14,266        585      3.9
CN0803100000000   08     031   Denver County/city, CO                            2018       412,817      399,671     13,146      3.2
CN0803300000000   08     033   Dolores County, CO                                2018         1,197        1,163         34      2.8
CN0803500000000   08     035   Douglas County, CO                                2018       191,240      185,768      5,472      2.9
CN0803700000000   08     037   Eagle County, CO                                  2018        36,207       35,218        989      2.7
CN0803900000000   08     039   Elbert County, CO                                 2018        14,963       14,538        425      2.8
CN0804100000000   08     041   El Paso County, CO                                2018       337,084      323,816     13,268      3.9
CN0804300000000   08     043   Fremont County, CO                                2018        15,342       14,544        798      5.2
CN0804500000000   08     045   Garfield County, CO                               2018        32,479       31,436      1,043      3.2
CN0804700000000   08     047   Gilpin County, CO                                 2018         3,731        3,636         95      2.5
CN0804900000000   08     049   Grand County, CO                                  2018         9,917        9,651        266      2.7
CN0805100000000   08     051   Gunnison County, CO                               2018        11,012       10,727        285      2.6
CN0805300000000   08     053   Hinsdale County, CO                               2018           459          447         12      2.6
CN0805500000000   08     055   Huerfano County, CO                               2018         2,619        2,448        171      6.5
CN0805700000000   08     057   Jackson County, CO                                2018         1,029        1,002         27      2.6
CN0805900000000   08     059   Jefferson County, CO                              2018       334,242      324,124     10,118      3.0
CN0806100000000   08     061   Kiowa County, CO                                  2018           963          946         17      1.8
CN0806300000000   08     063   Kit Carson County, CO                             2018         4,487        4,396         91      2.0
CN0806500000000   08     065   Lake County, CO                                   2018         4,894        4,765        129      2.6
CN0806700000000   08     067   La Plata County, CO                               2018        32,091       31,120        971      3.0
CN0806900000000   08     069   Larimer County, CO                                2018       202,449      196,754      5,695      2.8
CN0807100000000   08     071   Las Animas County, CO                             2018         6,572        6,261        311      4.7
CN0807300000000   08     073   Lincoln County, CO                                2018         2,494        2,433         61      2.4
CN0807500000000   08     075   Logan County, CO                                  2018        11,287       10,958        329      2.9
CN0807700000000   08     077   Mesa County, CO                                   2018        76,060       72,949      3,111      4.1
CN0807900000000   08     079   Mineral County, CO                                2018           507          494         13      2.6
CN0808100000000   08     081   Moffat County, CO                                 2018         7,579        7,302        277      3.7
CN0808300000000   08     083   Montezuma County, CO                              2018        13,338       12,706        632      4.7
CN0808500000000   08     085   Montrose County, CO                               2018        21,941       21,136        805      3.7
CN0808700000000   08     087   Morgan County, CO                                 2018        16,473       15,990        483      2.9
CN0808900000000   08     089   Otero County, CO                                  2018         8,635        8,205        430      5.0
CN0809100000000   08     091   Ouray County, CO                                  2018         2,400        2,316         84      3.5
CN0809300000000   08     093   Park County, CO                                   2018        10,859       10,545        314      2.9
CN0809500000000   08     095   Phillips County, CO                               2018         2,693        2,642         51      1.9
CN0809700000000   08     097   Pitkin County, CO                                 2018        11,363       10,926        437      3.8
CN0809900000000   08     099   Prowers County, CO                                2018         6,387        6,175        212      3.3
CN0810100000000   08     101   Pueblo County, CO                                 2018        75,912       72,186      3,726      4.9
CN0810300000000   08     103   Rio Blanco County, CO                             2018         2,854        2,727        127      4.4
CN0810500000000   08     105   Rio Grande County, CO                             2018         5,643        5,370        273      4.8
CN0810700000000   08     107   Routt County, CO                                  2018        16,301       15,861        440      2.7
CN0810900000000   08     109   Saguache County, CO                               2018         3,638        3,469        169      4.6
CN0811100000000   08     111   San Juan County, CO                               2018           519          503         16      3.1
CN0811300000000   08     113   San Miguel County, CO                             2018         5,520        5,326        194      3.5
CN0811500000000   08     115   Sedgwick County, CO                               2018         1,253        1,221         32      2.6
CN0811700000000   08     117   Summit County, CO                                 2018        22,315       21,819        496      2.2
CN0811900000000   08     119   Teller County, CO                                 2018        12,651       12,182        469      3.7
CN0812100000000   08     121   Washington County, CO                             2018         3,225        3,147         78      2.4
CN0812300000000   08     123   Weld County, CO                                   2018       165,290      160,320      4,970      3.0
CN0812500000000   08     125   Yuma County, CO                                   2018         6,142        6,017        125      2.0
CN0900100000000   09     001   Fairfield County, CT                              2018       480,767      461,750     19,017      4.0
CN0900300000000   09     003   Hartford County, CT                               2018       480,319      459,939     20,380      4.2
CN0900500000000   09     005   Litchfield County, CT                             2018       105,014      101,000      4,014      3.8
CN0900700000000   09     007   Middlesex County, CT                              2018        93,078       89,811      3,267      3.5
CN0900900000000   09     009   New Haven County, CT                              2018       458,747      438,576     20,171      4.4
CN0901100000000   09     011   New London County, CT                             2018       137,463      132,032      5,431      4.0
CN0901300000000   09     013   Tolland County, CT                                2018        86,499       83,402      3,097      3.6
CN0901500000000   09     015   Windham County, CT                                2018        63,426       60,560      2,866      4.5
CN1000100000000   10     001   Kent County, DE                                   2018        78,124       74,885      3,239      4.1
CN1000300000000   10     003   New Castle County, DE                             2018       298,915      287,977     10,938      3.7
CN1000500000000   10     005   Sussex County, DE                                 2018       105,426      101,475      3,951      3.7
CN1100100000000   11     001   District of Columbia                              2018       404,610      382,140     22,470      5.6
CN1200100000000   12     001   Alachua County, FL                                2018       137,339      132,846      4,493      3.3
CN1200300000000   12     003   Baker County, FL                                  2018        11,869       11,467        402      3.4
CN1200500000000   12     005   Bay County, FL                                    2018        89,251       85,703      3,548      4.0
CN1200700000000   12     007   Bradford County, FL                               2018        11,304       10,933        371      3.3
CN1200900000000   12     009   Brevard County, FL                                2018       276,558      266,812      9,746      3.5
CN1201100000000   12     011   Broward County, FL                                2018     1,036,212    1,001,293     34,919      3.4
CN1201300000000   12     013   Calhoun County, FL                                2018         5,082        4,873        209      4.1
CN1201500000000   12     015   Charlotte County, FL                              2018        70,953       68,108      2,845      4.0
CN1201700000000   12     017   Citrus County, FL                                 2018        47,799       45,314      2,485      5.2
CN1201900000000   12     019   Clay County, FL                                   2018       106,276      102,789      3,487      3.3
CN1202100000000   12     021   Collier County, FL                                2018       177,351      171,255      6,096      3.4
CN1202300000000   12     023   Columbia County, FL                               2018        29,540       28,434      1,106      3.7
CN1202700000000   12     027   DeSoto County, FL                                 2018        13,955       13,419        536      3.8
CN1202900000000   12     029   Dixie County, FL                                  2018         5,773        5,529        244      4.2
CN1203100000000   12     031   Duval County, FL                                  2018       487,844      470,411     17,433      3.6
CN1203300000000   12     033   Escambia County, FL                               2018       145,298      140,151      5,147      3.5
CN1203500000000   12     035   Flagler County, FL                                2018        47,077       45,173      1,904      4.0
CN1203700000000   12     037   Franklin County, FL                               2018         4,840        4,673        167      3.5
