county,crime_rate_per_100000
"Petersburg, VA",559.3459955
"Norfolk, VA",558.2211677
"Henderson, IL",557.9399142000001
"Sierra, CA",557.9258287
"East Carroll, LA",557.8430070000001
"Claiborne, TN",557.6679341
"Mecklenburg, NC",556.9251355
"Del Norte, CA",556.0937107999999
"Prince George's, MD",555.679764
"Lafayette, LA",554.9178019999999
"Butler, MO",554.7431702
"Sumter, AL",553.8507597
"Maury, TN",552.7632192000001
"Mobile, AL",552.3100664
"St. Landry, LA",551.2018597
"Cumberland, NJ",551.0639921000001
"Tift, GA",551.0599216
"Pinellas, FL",550.6712247
"Roanoke, VA",550.4493982999999
"Roanoke, VA",550.4493982999999
"Roanoke, VA",159.3173945
"Roanoke, VA",159.3173945
"Clarendon, SC",550.1382623
"Chaves, NM",549.9597405000001
"Quitman, GA",549.2184199
"Wicomico, MD",549.080241
"Sacramento, CA",547.6937429
"Andrews, TX",547.6516459
"Stanislaus, CA",547.1073719999999
"Spalding, GA",546.7734102000001
"Victoria, TX",543.1643489
"St. Francis, AR",542.9200293
"Wirt, WV",542.2809693
"Halifax, NC",540.6618899
"Jeff Davis, GA",539.8560384
"Cecil, MD",538.6947691
"Brevard, FL",537.9223453
"Butler, AL",537.8731803999999
"Montgomery, TN",536.6094754
"Beaufort, SC",536.5518686
"Forsyth, NC",535.9614638999999
"Fresno, CA",534.2980847
"Kent, DE",534.1880342000001
"Howard, TX",533.9308933
"Putnam, GA",533.4331571
"Morgan, MO",532.9385639999999
"Anson, NC",531.3252552
"Allen, OH",530.8742806
"Clinch, GA",529.8013245
"Wilkes, GA",529.4705295
"Muskegon, MI",529.2150075000001
"Lincoln, WV",528.7814834
"Gadsden, FL",528.2071265
"Bullock, AL",526.3652599
"Dauphin, PA",525.2143487
"Hill, MT",525.1086432
"Bibb, GA",524.1693111999999
"Knox, TN",522.4662747
"Vance, NC",522.2281735
"Bryan, OK",522.1046922
"Cuyahoga, OH",521.2349405
"Taney, MO",520.7652823
"Martin, NC",519.0092409
"McMinn, TN",517.7585449
"Dallas, AR",516.8284382
"Delaware, PA",516.0390268
"Ward, TX",515.8306652
"Gibson, TN",515.5994096
"Bristol, MA",515.394913
"Oconee, SC",514.3580518
"Etowah, AL",513.8024266
"Pontotoc, OK",513.2659507000001
"Monroe, FL",512.1085513
"Gonzales, TX",512.0126034
"Abbeville, SC",511.8566801
"Galax, VA",511.7270789
"Dorchester, MD",508.2669933
"Lawrence, PA",508.2108515
"Ben Hill, GA",508.1358835
"Kings, CA",508.081611
"Des Moines, IA",506.4229249
"Okeechobee, FL",505.9750826
"Lancaster, SC",504.61110139999994
"Lee, IA",504.45602829999996
"Calcasieu, LA",504.3626086
"Randall, TX",503.66083150000003
"St. Charles, LA",503.6395081
"Baldwin, GA",501.7485176
"Pueblo, CO",501.7002063
"Cherokee, TX",501.1989465
"McNairy, TN",501.1476664
"Lea, NM",501.0137816000001
"Franklin, AL",497.9068882
"Geary, KS",497.53905410000004
"Tallapoosa, AL",497.5365871
"DeWitt, TX",497.48817249999996
"Bay, FL",497.1797905
"Scotland, NC",496.87716860000006
"St. Helena, LA",496.55172410000006
"Washington, LA",495.4867619
"Calhoun, TX",495.27652939999996
"Johnson, TN",495.0770429
"Valencia, NM",492.8949714
"Gregg, TX",492.58681229999996
"Kleberg, TX",492.1965048
"Sheridan, MT",490.73064339999996
"Muscogee, GA",490.5731077
"Nantucket, MA",490.43177230000003
"Decatur, TN",488.80885
"Osceola, FL",488.4356659
"York, SC",488.3795741
"Shawnee, KS",488.1703955
"Pennington, SD",486.94698420000003
"Ingham, MI",485.41281349999997
"Cloud, KS",484.28755920000003
"Bradford, FL",484.1713222
"Douglas, NE",483.3822237
"Colbert, AL",482.3917828
"Passaic, NJ",481.7351959
"Gray, TX",481.7081109
"Portsmouth, VA",481.2639676
"Monroe, AL",481.20165499999996
"Union, NM",480.54919910000007
"Hardin, TN",480.14135360000006
"Clarke, AL",480.0253898
"Pointe Coupee, LA",480.02133430000004
"Crenshaw, AL",479.0504791
"Marion, FL",479.01067699999993
"Palm Beach, FL",478.65754339999995
"Pima, AZ",478.147697
"Multnomah, OR",477.46154400000006
"Georgetown, SC",476.5056254
"Chesterfield, SC",476.22139969999995
"Crisp, GA",475.6599246
"Pottawatomie, OK",473.593974
"De Baca, NM",471.9454641
"Calhoun, SC",471.6041182
"Radford, VA",471.36871510000003
"Broward, FL",470.94805210000004
"Raleigh, WV",470.6150977
"San Miguel, NM",469.50001749999996
"Muscatine, IA",469.2314875
"Dimmit, TX",468.01872069999996
"Lincoln, TN",466.80343710000005
"Okaloosa, FL",464.3699274
"Reno, KS",464.24676739999995
"Decatur, GA",464.1982529
"Hamblen, TN",462.948283
"McCurtain, OK",462.7249357
"Ramsey, MN",462.49008
"Tulare, CA",462.40941730000003
"Ouachita, LA",462.1687364
"Marengo, AL",461.4239643
"Hampshire, WV",460.65259119999996
"Clinton, IA",460.5534903
"Barrow, GA",460.44252869999997
"Erie, NY",459.3060294
"Coffee, TN",459.1712428
"Richmond, NC",459.0022627
"Bourbon, KS",457.8507945
"Atlantic, NJ",457.47511439999994
"White Pine, NV",457.39286069999997
"Sussex, DE",457.297156
"Kanawha, WV",455.36531169999995
"Meigs, TN",454.97467589999997
"Richmond, GA",454.9437385
"Iron, MO",454.3696829
"Newberry, SC",453.0796088000001
"Morris, TX",451.9245753000001
"Florence, SC",451.83118139999993
"Hunt, TX",451.4750482
"Roosevelt, NM",451.01478330000003
"Claiborne, LA",450.4504505
"Canadian, OK",450.35401950000005
"Schenectady, NY",450.00096569999994
"Liberty, TX",449.8940279
"Russell, AL",449.7776286
"Inyo, CA",449.4503709
"Saluda, SC",447.9617739
"Lawrence, MO",447.81982450000004
"Charlottesville, VA",446.45877019999995
"Hamilton, OH",445.8559141
"Los Angeles, CA",444.80081399999995
"Mercer, NJ",444.6376217
"Rutherford, TN",444.08228330000003
"Walker, AL",443.9528471
"Leavenworth, KS",443.81914689999996
"Scott, IA",443.70103
"Benton, MO",443.6932178
"Putnam, TN",443.38660319999997
"Dallas, TX",442.96507199999996
"Anne Arundel, MD",442.11083179999997
"Guilford, NC",441.75993370000003
"Iron, WI",441.7261298
"Hudson, NJ",441.3265847
"Jefferson, LA",440.2358045
"Grenada, MS",439.57060889999997
"Catahoula, LA",439.53897249999994
"Franklin, OH",438.02376219999996
"Alamance, NC",436.59070589999993
"Madison, LA",435.9855789
"Gulf, FL",435.908775
"Monroe, TN",435.2148459
"Randolph, WV",435.15213330000006
"Monterey, CA",435.1415259
"Washington, AR",434.8227901000001
"Laclede, MO",434.5753778
"Solano, CA",434.5697148
"Wilbarger, TX",434.0872744
"Sweetwater, WY",433.27364769999997
"Hemphill, TX",432.9004329
"San Bernardino, CA",432.4902041
"Forest, PA",432.44659939999997
"Tuscaloosa, AL",432.22571339999996
"Berrien, MI",432.20055139999994
"DeSoto, FL",431.67135030000003
"Spartanburg, SC",431.3174256
"Volusia, FL",431.30990419999995
"Bexar, TX",431.06056849999993
"Worcester, MA",430.9694898
"Wichita, TX",430.1498709
"Clay, AL",430.075634
"Black Hawk, IA",430.0393826
"Webb, TX",429.3415113
"Lawrence, TN",428.6734937
"Pierce, WA",428.3049688
"Polk, GA",427.36080419999996
"Kent, MD",426.1933414
"Cowley, KS",425.36736270000006
"Barton, KS",425.31535130000003
"Hockley, TX",424.98937530000006
"Schoolcraft, MI",424.39675030000006
"Webster, IA",423.82032180000004
"Rusk, TX",423.3337063
"Jackson, FL",423.1225216
"Warren, IL",423.1073
"Cumberland, TN",422.85873389999995
"Stone, MO",421.76566439999993
"McLennan, TX",421.56525769999996
"Trousdale, TN",421.56361780000003
"Barnstable, MA",421.41494950000003
"Coffee, GA",421.101342
"Winkler, TX",420.72048380000007
"Wayne, NC",420.603132
"La Salle, LA",419.57095489999995
"White, TN",419.1434233
"Stonewall, TX",418.9944134
"Tipton, TN",418.9263794
"Brazos, TX",418.8734225
"Dorchester, SC",418.1654367
"Finney, KS",417.812281
"Newport News, VA",416.9871443
"Jasper, MO",416.67382599999996
"Tarrant, TX",416.156389
"Cherokee, AL",415.98290269999995
"Cole, MO",415.9115503
"Desha, AR",415.8336665
"Hopewell, VA",415.1062582
"Lake, IN",414.68615710000006
"Orangeburg, SC",414.5499329
"Huerfano, CO",414.17395310000006
"Pike, AL",413.92963199999997
"Polk, MO",413.24982239999997
"Oglethorpe, GA",412.4278251
"Zavala, TX",411.319513
"Dale, AL",410.9534119
"Dallam, TX",410.93949269999996
"Mendocino, CA",410.58812739999996
"Vernon, MO",410.52078860000006
"Lassen, CA",410.4094767
"Maricopa, AZ",410.2097764
"Hennepin, MN",410.08426910000003
"Allegheny, PA",409.4916311
"Ellis, KS",409.4835002
"Ware, GA",408.86051139999995
"Childress, TX",408.7385483
"Hidalgo, NM",408.2509669
"Bartow, GA",407.8085966
"Hardin, IL",406.6012916
"Clay, FL",406.3157144
"Elkhart, IN",405.8575111
"Washington, TN",404.632565
"Bell, TX",402.94575679999997
"Cedar, MO",402.5012578
"Charleston, SC",402.3572772
"Camden, GA",402.1291476
"Greene, TN",401.3652277
"Houston, AL",401.2810125
"Curry, NM",401.2016285
"Contra Costa, CA",400.6561842
"Wilson, NC",400.406529
"Wharton, TX",400.3299689
"Mariposa, CA",399.8873557
"Montgomery, OH",399.5550961
"Pitt, NC",399.3963148
"La Paz, AZ",398.5435938
"Monroe, PA",398.4492785
"Fredericksburg, VA",398.1231338
"Massac, IL",398.06276119999995
"Logan, WV",397.36571539999994
"Montgomery, AL",396.6310625
"Lake, MT",396.31939900000003
"Pulaski, MO",396.2938156
"Kent, MI",395.6892392
"Sequatchie, TN",395.06845580000004
"Robertson, TN",394.75832180000003
"Henry, MO",394.39684480000005
"Clarke, GA",394.1780398
"Dunklin, MO",394.172553
"St. Lucie, FL",393.958833
"Uvalde, TX",393.67154419999997
"Franklin, VA",393.60963189999995
"Franklin, VA",393.60963189999995
"Franklin, VA",108.28082009999999
"Franklin, VA",108.28082009999999
"New Haven, CT",392.9086256
"McMullen, TX",392.67015710000004
"Walker, TX",392.3449148
"Bacon, GA",392.296719
"Smith, TX",391.98445019999997
"Warren, MS",391.9698038
"New Hanover, NC",391.5279907
"Harvey, KS",391.4682939
"El Paso, TX",391.43766360000006
"Garland, AR",388.9969436
"Sierra, NM",388.8696854
"Yuba, CA",388.6010363
"Henry, AL",387.372803
"Lincoln, GA",387.0468327
"Clark, AR",386.93224289999995
"Colquitt, GA",386.8179363
"Roosevelt, MT",386.5168539
"Santa Cruz, CA",386.3870031
"Bienville, LA",386.2384665
"Macon, IL",386.17105
"Jennings, IN",385.96366980000005
"Chatham, GA",385.72875439999996
"Shannon, MO",385.68157169999995
"Jackson, AL",385.26184589999997
"Caddo, OK",385.21321889999996
"Adams, IA",385.2080123
"Liberty, GA",385.1251267
"Panola, MS",383.6986222
"Bedford, TN",383.43391210000004
"Vermilion, LA",383.1029653
"Buchanan, MO",382.6800995
"Terrebonne, LA",382.2650312
"Ford, KS",381.9753583
"Angelina, TX",381.97184389999995
"Berkeley, SC",381.9193898
"Irwin, GA",381.8818288
"Niagara, NY",381.7987482
"DeKalb, AL",381.6202667
"Stephens, GA",381.5753611
"Livingston, LA",381.19251339999994
"Navarro, TX",380.9484158
"Giles, TN",379.18319069999995
"El Paso, CO",379.058506
"Butler, OH",378.9674417
"Jasper, TX",378.6922494
"Pickens, SC",378.0387052
"Warren, TN",377.8306018
"Elbert, GA",377.57028419999995
"Summit, OH",377.428833
"Santa Barbara, CA",377.0969275
"Terrell, GA",376.85657280000004
"San Benito, CA",376.7361111
"Scott, KY",376.39898289999996
"Charles, MD",376.15135019999997
"Allendale, SC",376.05447710000004
"Grimes, TX",376.0378272
"Kalamazoo, MI",375.8885967
"Crawford, GA",375.8797185
"Washoe, NV",375.8089692
"Assumption, LA",375.21024710000006
"Onondaga, NY",374.9036587
"Rock Island, IL",374.8523
"Gaston, NC",374.8448095
"Anderson, TX",374.5382996
"Essex, MA",374.13940069999995
"Atkinson, GA",373.94451150000003
"Henderson, TX",373.68922779999997
"Wyoming, WV",373.6044137
"Hart, GA",373.3396212
"Campbell, TN",372.7819474
"Winston, AL",372.7325437
"Douglas, KS",372.63168939999997
"Mason, IL",371.9820326
"Kent, TX",371.74721189999997
"Sunflower, MS",371.4683716
"Cass, MN",371.2134477
"Columbus, NC",370.3315515
"Fayette, KY",369.9404723
"Seminole, GA",368.92118500000004
"San Diego, CA",368.6724057
"Williams, ND",368.305457
"Brown, TX",368.2216747
"Kay, OK",368.1546249
"Taylor, TX",367.5894928
"Musselshell, MT",367.249946
"Spokane, WA",366.5013204
"Mercer, WV",366.22354160000003
"Rhea, TN",366.0074432
"Marshall, IA",365.9072059
"Chesapeake, VA",365.18035660000004
"Morgan, TN",365.0467716
"Plymouth, MA",365.0020422
"Boone, MO",364.81176769999996
"Lancaster, NE",364.6022704
"Allegany, MD",364.5217013
"Caldwell, TX",364.4983687
"Monroe, AR",364.4884145
"Pratt, KS",364.44624419999997
"Mahoning, OH",364.3065135
"Scurry, TX",364.1197549
"Glacier, MT",363.9275056
"Dixie, FL",363.8644918
"Oregon, MO",363.7686431
"Reynolds, MO",363.69146839999996
"Jackson, AR",363.3267102
"Newton, GA",363.1181305
"Lamar, TX",362.1575689
"Cape Girardeau, MO",362.131402
"Sonoma, CA",362.0019191
"Drew, AR",361.9909502
"Bladen, NC",361.62213360000004
"Walton, FL",361.1617369
"Worcester, MD",360.32545530000004
"Poinsett, AR",360.3230483
"Lincoln, OR",360.30204960000003
"Yakima, WA",359.45013839999996
"Washington, IA",358.8462412
"Atchison, KS",358.23034210000003
"Robertson, TX",357.8794128
"Rockdale, GA",357.8043926
"Navajo, AZ",357.8017555
"Fannin, GA",357.74410770000003
"Henry, VA",357.29897180000006
"Franklin, IL",357.1246365
"Gilpin, CO",357.079093
"Floyd, GA",356.9154987
"Monroe, NY",356.854134
"Amador, CA",355.9790794
"Ouachita, AR",355.9715223
"Boone, AR",355.653011
"Orange, TX",355.6059163
"Santa Fe, NM",355.4397889
"Pasquotank, NC",355.16870510000007
"Chilton, AL",354.94072939999995
"Suwannee, FL",354.415329
"Hillsborough, FL",353.83074039999997
"Obion, TN",353.3455398
"St. Martin, LA",353.25676289999996
"Floyd, TX",353.13001610000003
"Williamson, IL",352.6388142
"Beaufort, NC",351.84560930000004
"Caldwell, MO",351.7643179
"Caroline, MD",351.75725689999996
"Limestone, TX",351.53905510000004
"Elko, NV",351.2522908
"Mitchell, TX",350.98915120000004
"Tillman, OK",350.1491376
"Granville, NC",350.0643501
"Lexington, SC",349.95178119999997
"Providence, RI",348.8705059
"Harrison, TX",348.35391560000005
"Polk, FL",348.309575
"Dickson, TN",348.1478534
"Swisher, TX",347.8036841
"Grant, NM",347.79050739999997
"Cross, AR",347.6179622
"Yuma, AZ",346.4197494
"Bristol, VA",346.0008073
"Napa, CA",345.6237618
"Stokes, NC",345.5825534
"Travis, TX",345.42006180000004
"Blount, TN",345.3265014
"Clinton, MO",345.14607939999996
"Union, NJ",345.0942625
"Lynchburg, VA",344.8099059
"DeKalb, TN",344.395742
"Torrance, NM",343.5770185
"San Patricio, TX",343.22693799999996
"Ste. Genevieve, MO",343.120711
"Anderson, TN",342.85562999999996
"Hughes, SD",342.7004798
"Lauderdale, MS",342.66204799999997
"Hansford, TX",342.0342034
"McCormick, SC",341.8116015
"Coffee, AL",341.591739
"Hamilton, FL",341.3682597
"St. Joseph, IN",341.1958352
"Thomas, GA",340.9926675
"Tunica, MS",340.9090909
"Saline, IL",340.8316292
"Surry, VA",339.98521800000003
"Weakley, TN",339.6226415
"Laurens, GA",339.59040810000005
"Cheatham, TN",339.3092272
"Saline, KS",339.0742734
"Pulaski, IL",338.5240352
"Washington, NC",337.9971703
"Lee, FL",337.9139787
"Pulaski, GA",337.8963784
"Cleveland, OK",337.8629242
"Winn, LA",337.5413488
"Marshall, TN",337.29521360000007
"King, WA",337.2057704
"Grady, OK",337.1519046
"Los Alamos, NM",337.1165299
"Franklin, KY",336.3680309
"Adams, CO",336.32215310000004
"Bastrop, TX",336.30069239999995
"Lanier, GA",336.2797848
"Wilcox, AL",336.0749978
"Tate, MS",334.8253621
"Coconino, AZ",334.70290539999996
"Labette, KS",334.67202139999995
"Lewis, TN",334.420199
"Sutter, CA",333.508128
"Seward, KS",333.47584439999997
"Sevier, TN",333.4402052
"Berkshire, MA",333.371918
"Clay, MS",333.20266560000005
"Washington, CO",333.12513010000004
"Hamilton, IA",333.0721003
"Houston, GA",331.8479188
"Berks, PA",331.78484289999994
"Russell, KS",331.7467186
"Lucas, IA",331.5801509
"Cabell, WV",331.5042262
"Seminole, FL",331.39085539999996
"Aiken, SC",331.3517201
"Crawford, KS",330.97408219999994
"Ashland, WI",330.9190809
"Appanoose, IA",330.9171131
"Manassas, VA",330.8955761
"Albany, NY",330.6781345
"Matagorda, TX",330.67337119999996
"Indiana, PA",330.5031626
"Montgomery, IL",330.4781817
"Minnehaha, SD",329.5479849
"Webster, LA",329.41639219999996
"Marion, AR",328.6670724
"Lamar, GA",328.5260872
"Gordon, GA",328.20991089999995
"Blaine, ID",328.1916639
"San Luis Obispo, CA",327.73483139999996
"Nacogdoches, TX",327.56773300000003
"Talladega, AL",326.77320710000004
"Duplin, NC",326.2099727
"Webster, WV",326.0991791
"Yadkin, NC",325.9897997
"Washington, AL",325.88730219999997
"West Baton Rouge, LA",325.56057460000005
"Lincoln, LA",324.7985827
"Union, TN",324.57334310000005
"Tama, IA",324.3058716
"Citrus, FL",323.82908139999995
"Lake, FL",323.6655694
"Wood, WV",323.4414167
"Lake, TN",323.3734316
"Wilson, TN",323.09647789999997
"Valley, ID",322.7149698
"Craighead, AR",322.205581
"Pierce, GA",322.1037068
"Stillwater, MT",321.95750160000006
"Salt Lake, UT",321.9350184
"Sabine, LA",321.8485661
"Howell, MO",321.8379422
"Shelby, TX",321.80521089999996
"Logan, KS",321.65832739999996
"Putnam, WV",321.270962
"McDowell, WV",320.94270930000005
"Ripley, MO",320.69555299999996
"Dodge, GA",320.4373027
"Swain, NC",320.10243280000003
"McLean, IL",320.0742068
"Waynesboro, VA",319.804355
"Yavapai, AZ",319.80216889999997
"San Augustine, TX",319.3066484
"Beaver, PA",319.1958381
"Pasco, FL",319.03125539999996
"Licking, OH",318.9309577
"Lowndes, GA",318.8210705
"Lee, TX",318.7394756
"Suffolk, VA",318.4490482
"Doniphan, KS",318.4307732
"Ford, IL",318.1029497
"Geneva, AL",318.03045610000004
"Edgar, IL",317.3719376
"Franklin, MA",317.3221381
"Mesa, CO",317.1720184
"Jackson, OR",316.9579707
"Sarasota, FL",316.8309731
"Hidalgo, TX",316.79076860000004
"Lee, GA",316.4665818
"Crawford, AR",316.35301749999996
"Jackson, MI",316.14588849999996
"Franklin, AR",316.06964619999997
"Troup, GA",315.69953510000005
"Pawnee, KS",315.59317169999997
"Marshall, SD",314.9275667
"Danville, VA",314.6339758
"Chariton, MO",314.63030939999993
"Faulkner, AR",314.4338518
"Little River, AR",314.2183818
"Ozark, MO",313.80753139999996
"Harmon, OK",313.6981527
"Cherokee, SC",313.14306160000007
"Rowan, NC",313.03543160000004
"Polk, IA",312.8341713
"Mono, CA",312.6332244
"Chowan, NC",312.3726742
"Lonoke, AR",312.3542465
"Quay, NM",311.7063034
"St. Joseph, MI",311.65933989999996
"Catawba, NC",311.349396
"Adair, OK",310.8948364
"Grant, AR",310.78306230000004
"Henry, TN",310.4625893
"Garfield, WA",310.28368789999996
"Marion, TN",310.1430887
"Craven, NC",310.0804869
"Gunnison, CO",309.5376282
"Vanderburgh, IN",309.26471069999997
"Howard, AR",309.2555776
"Hardy, WV",308.908046
"Kankakee, IL",308.59793080000003
"Indian River, FL",308.46373789999996
"Somerset, MD",308.3012979
"Bates, MO",308.1570997
"Butte, CA",307.98325
"Mahnomen, MN",307.3029646
"Stephens, OK",307.21966210000005
"Wayne, IL",307.00698289999997
"Stewart, TN",306.8402934
"Jefferson, GA",306.37254900000005
"Kearny, KS",305.8883508
"Panola, TX",305.82320899999996
"Pecos, TX",305.7909155
"Hartford, CT",305.5867265
"Woodbury, IA",305.4929991
"Cowlitz, WA",305.3210289
"Lafayette, FL",305.1537071
"Riverside, CA",304.8627551000001
"Sheridan, NE",304.7038659
"Clearfield, PA",304.2846232
"Jackson, TN",303.8985847
"Washington, MS",303.89631299999996
"Adams, IL",303.88797850000003
"Iron, UT",303.548525
"Stark, OH",303.3838352
"Cass, TX",303.32003560000004
"Broome, NY",303.2389361
"Jefferson, TN",303.1291368
"Hertford, NC",302.8938644
"Tyler, TX",302.83265
"Tippecanoe, IN",302.48537519999996
"Bay, MI",302.343867
"Kauai, HI",302.1061112
"Richland, LA",302.05686339999994
"Knox, IL",301.4708706
"Jack, TX",301.4402144
