,Total,county,population,Poverty_Rate
57,2426,"St. Clair, AL",86308,2.810863419381749
58,4040,"Shelby, AL",204180,1.9786462924870212
59,247,"Sumter, AL",13361,1.8486640221540305
60,2535,"Talladega, AL",81096,3.1259248298313116
61,836,"Tallapoosa, AL",41203,2.028978472441327
62,3697,"Tuscaloosa, AL",200821,1.8409429292753248
63,2139,"Walker, AL",65998,3.241007303251614
64,403,"Washington, AL",16877,2.3878651419091073
65,260,"Wilcox, AL",11307,2.29946051118776
66,634,"Winston, AL",24146,2.625693696678539
67,5883,"Anchorage Municipality, AK",300950,1.9548097690646287
68,3430,"Apache, AZ",71934,4.76825979369978
69,3284,"Cochise, AZ",129473,2.5364361681586125
70,3511,"Coconino, AZ",136539,2.5714264788814916
71,2026,"Gila, AZ",53053,3.818822686747215
72,1193,"Graham, AZ",37482,3.1828611066645323
73,347,"Greenlee, AZ",9049,3.8346778649574538
74,450,"La Paz, AZ",20324,2.2141310765597324
75,99821,"Maricopa, AZ",4009412,2.4896668139866893
76,5772,"Mohave, AZ",203030,2.84292961631286
77,4657,"Navajo, AZ",107322,4.339278060416317
78,21064,"Pima, AZ",996554,2.113683754217032
79,10701,"Pinal, AZ",389350,2.7484268652883013
80,1959,"Santa Cruz, AZ",46768,4.188761546356483
81,5170,"Yavapai, AZ",215133,2.403164554020071
82,7175,"Yuma, AZ",201201,3.566085655637895
83,747,"Arkansas, AR",18777,3.9782712893433456
84,567,"Ashley, AR",21283,2.6640981064699525
85,782,"Baxter, AR",40957,1.9093195302390311
86,5295,"Benton, AR",237297,2.231380927698201
87,797,"Boone, AR",37396,2.1312439833137233
88,178,"Bradley, AR",11249,1.582362876700151
89,128,"Calhoun, AR",5241,2.4422820072505247
90,903,"Carroll, AR",27808,3.247266973532796
91,369,"Chicot, AR",11335,3.2554036171151304
92,390,"Clark, AR",22743,1.7148133491623796
93,315,"Clay, AR",15402,2.045188936501753
94,620,"Cleburne, AR",25686,2.4137662539905005
95,282,"Cleveland, AR",8593,3.2817409519376235
96,574,"Columbia, AR",24164,2.3754345307068365
97,505,"Conway, AR",21245,2.377029889385738
98,2532,"Craighead, AR",101488,2.4948762415260917
99,2349,"Crawford, AR",61640,3.810837118754056
100,1279,"Crittenden, AR",49746,2.571060989828328
101,577,"Cross, AR",17548,3.288124002735354
102,134,"Dallas, AR",7933,1.689146602798437
103,430,"Desha, AR",12505,3.4386245501799277
104,390,"Drew, AR",18785,2.0761245674740483
105,2129,"Faulkner, AR",119580,1.7803980598762335
106,268,"Franklin, AR",18034,1.4860818454031275
107,411,"Fulton, AR",12304,3.34037711313394
108,2102,"Garland, AR",97173,2.163152315972544
109,522,"Grant, AR",18019,2.8969421166546425
110,1397,"Greene, AR",43097,3.2415249321298467
111,732,"Hempstead, AR",22474,3.2570970899706326
112,1237,"Hot Spring, AR",33500,3.692537313432836
113,315,"Howard, AR",13581,2.319416832339298
114,1207,"Independence, AR",36997,3.2624266832445876
115,293,"Izard, AR",13368,2.1918013165769
116,429,"Jackson, AR",17615,2.4354243542435423
117,1865,"Jefferson, AR",73191,2.548127502015275
118,570,"Johnson, AR",25846,2.2053702700611315
119,172,"Lafayette, AR",7252,2.3717595146166577
120,324,"Lawrence, AR",17011,1.9046499323966843
121,216,"Lee, AR",10015,2.1567648527209187
122,268,"Lincoln, AR",14031,1.9100563038985103
123,391,"Little River, AR",12730,3.0714846818538883
124,683,"Logan, AR",22082,3.0930169368716602
125,1767,"Lonoke, AR",70753,2.4974206040733256
126,344,"Madison, AR",15701,2.1909432520221643
127,309,"Marion, AR",16430,1.8807060255629944
128,956,"Miller, AR",43402,2.2026634717294136
129,1541,"Mississippi, AR",44765,3.4424215346811122
130,244,"Monroe, AR",7682,3.176256183285603
131,182,"Montgomery, AR",9226,1.9726858877086493
132,328,"Nevada, AR",8799,3.72769632912831
133,227,"Newton, AR",8064,2.8149801587301586
134,917,"Ouachita, AR",25002,3.667706583473322
135,208,"Perry, AR",10345,2.0106331561140647
136,679,"Phillips, AR",20399,3.3285945389479874
137,251,"Pike, AR",11177,2.245683099221616
138,1061,"Poinsett, AR",24145,4.394284530958791
139,596,"Polk, AR",20406,2.920709595217093
140,1142,"Pope, AR",62547,1.8258269781124592
141,324,"Prairie, AR",8374,3.869118700740387
142,7632,"Pulaski, AR",391284,1.9505014260741558
143,480,"Randolph, AR",17692,2.7130906624463034
144,835,"St. Francis, AR",27260,3.0630961115187088
145,2768,"Saline, AR",114404,2.4194958218244116
146,309,"Scott, AR",10950,2.8219178082191783
147,97,"Searcy, AR",8023,1.2090240558394616
148,2912,"Sebastian, AR",127342,2.286755351729987
149,489,"Sevier, AR",17366,2.8158470574686167
150,457,"Sharp, AR",17049,2.6805091207695466
151,327,"Stone, AR",12581,2.599157459661394
152,898,"Union, AR",40694,2.206713520420701
153,492,"Van Buren, AR",16932,2.9057406094968106
154,3826,"Washington, AR",216410,1.7679404833418049
155,1933,"White, AR",78483,2.4629537606870278
156,89,"Woodruff, AR",7072,1.2584841628959276
157,478,"Yell, AR",21893,2.183346275065089
158,46629,"Alameda, CA",1578891,2.95327543193292
159,51,"Alpine, CA",1159,4.400345125107852
160,893,"Amador, CA",36519,2.445302445302445
161,4298,"Butte, CA",222090,1.9352514746274034
162,1044,"Calaveras, CA",44515,2.3452768729641695
163,474,"Colusa, CA",21358,2.2193089240565596
164,30087,"Contra Costa, CA",1094205,2.7496675668636135
165,745,"Del Norte, CA",27873,2.6728375130054176
166,3476,"El Dorado, CA",181737,1.9126540000110048
167,32067,"Fresno, CA",955272,3.3568449614350673
168,363,"Glenn, CA",27940,1.2992125984251968
169,2611,"Humboldt, CA",134493,1.9413649781029496
170,9146,"Imperial, CA",176584,5.17940470257781
171,331,"Inyo, CA",18467,1.7923864190177072
172,26617,"Kern, CA",864124,3.080229226361032
173,4279,"Kings, CA",150960,2.834525702172761
174,1267,"Lake, CA",63860,1.98402756028813
175,451,"Lassen, CA",32163,1.4022323788203837
176,328846,"Los Angeles, CA",10017068,3.2828568199796586
177,5602,"Madera, CA",152389,3.676118354999377
178,2536,"Marin, CA",258365,0.9815570994523253
179,424,"Mariposa, CA",17755,2.3880597014925375
180,2433,"Mendocino, CA",87192,2.7903936140930363
181,8960,"Merced, CA",263228,3.4038932028507607
182,103,"Modoc, CA",9147,1.1260522575707883
183,3,"Mono, CA",14074,0.02131590166264033
184,14256,"Monterey, CA",428826,3.3244252913769223
185,3282,"Napa, CA",140326,2.338839559311888
186,1260,"Nevada, CA",98200,1.2830957230142568
187,84387,"Orange, CA",3114363,2.709607068925491
188,7471,"Placer, CA",367309,2.033982287392903
189,306,"Plumas, CA",18859,1.6225674744153984
190,84118,"Riverside, CA",2292507,3.669258152755913
191,38575,"Sacramento, CA",1462131,2.6382724940514906
192,2193,"San Benito, CA",57600,3.8072916666666665
193,82978,"San Bernardino, CA",2088371,3.973336155309569
194,83332,"San Diego, CA",3211252,2.595000330089323
195,15480,"San Francisco, CA",837442,1.8484862235235395
196,24926,"San Joaquin, CA",704379,3.538719922087399
197,4745,"San Luis Obispo, CA",276443,1.7164478753305383
198,17826,"San Mateo, CA",747373,2.3851544008145864
199,11383,"Santa Barbara, CA",435697,2.6125954505080364
200,55174,"Santa Clara, CA",1862041,2.963092649409975
201,5495,"Santa Cruz, CA",269419,2.039574046373864
202,3384,"Shasta, CA",178980,1.8907140462621521
203,27,"Sierra, CA",3047,0.8861174926156876
204,1050,"Siskiyou, CA",43799,2.397315007191945
205,13501,"Solano, CA",424788,3.1782912888311343
206,9490,"Sonoma, CA",495025,1.9170748952073127
207,17317,"Stanislaus, CA",525491,3.295394212270048
208,3894,"Sutter, CA",95350,4.083901415836392
209,1669,"Tehama, CA",63057,2.646811614888117
210,276,"Trinity, CA",13448,2.052349791790601
211,15954,"Tulare, CA",454143,3.512990401701667
212,1026,"Tuolumne, CA",53874,1.9044437019712663
213,24564,"Ventura, CA",839620,2.9256092041637887
214,4271,"Yolo, CA",204593,2.0875592029052803
215,2094,"Yuba, CA",73340,2.8551949822743388
216,14576,"Adams, CO",469193,3.1066107124360336
217,178,"Alamosa, CO",16253,1.0951824278594722
218,13150,"Arapahoe, CO",607070,2.166142290015978
219,181,"Archuleta, CO",12194,1.4843365589634248
220,61,"Baca, CO",3682,1.6567083107007063
221,141,"Bent, CO",5688,2.478902953586498
222,2829,"Boulder, CO",310048,0.9124393642274745
223,1012,"Broomfield, CO",59471,1.7016697213768057
224,343,"Chaffee, CO",18510,1.853052404105889
225,13,"Cheyenne, CO",1890,0.6878306878306878
226,24,"Clear Creek, CO",9031,0.2657513010740782
227,179,"Conejos, CO",8277,2.1626193065120214
228,91,"Costilla, CO",3518,2.5866969869243888
229,108,"Crowley, CO",5322,2.029312288613303
230,50,"Custer, CO",4285,1.1668611435239207
231,680,"Delta, CO",30483,2.230751566446872
232,13182,"Denver, CO",649495,2.0295768250717865
233,29,"Dolores, CO",2029,1.429275505174963
234,4034,"Douglas, CO",305963,1.3184600752378555
235,496,"Eagle, CO",52460,0.9454822722073961
236,657,"Elbert, CO",23733,2.7682973075464545
237,11882,"El Paso, CO",655044,1.8139239501468605
238,692,"Fremont, CO",46451,1.4897418785386751
239,984,"Garfield, CO",57302,1.717217549125685
240,93,"Gilpin, CO",5601,1.6604177825388324
241,13,"Grand, CO",14289,0.09097907481279305
242,64,"Gunnison, CO",15507,0.4127168375572322
243,4,"Hinsdale, CO",813,0.4920049200492005
244,212,"Huerfano, CO",6519,3.2520325203252036
245,6,"Jackson, CO",1365,0.43956043956043955
246,8529,"Jefferson, CO",551798,1.5456743228500285
247,32,"Kiowa, CO",1423,2.2487702037947996
248,48,"Kit Carson, CO",8037,0.597237775289287
249,95,"Lake, CO",7306,1.3003011223651793
250,521,"La Plata, CO",53284,0.9777794459875385
251,4251,"Larimer, CO",315988,1.3453042520602048
252,406,"Las Animas, CO",14446,2.810466565139139
253,29,"Lincoln, CO",5430,0.5340699815837937
254,289,"Logan, CO",22450,1.287305122494432
255,2920,"Mesa, CO",147554,1.9789365249332447
256,4,"Mineral, CO",721,0.5547850208044383
257,230,"Moffat, CO",13103,1.7553232084255515
258,628,"Montezuma, CO",25642,2.4491069339365104
259,942,"Montrose, CO",40713,2.313757276545575
260,767,"Morgan, CO",28404,2.7003238980425293
261,657,"Otero, CO",18703,3.512805432283591
262,18,"Ouray, CO",4557,0.39499670836076367
263,189,"Park, CO",16121,1.1723838471558836
264,83,"Phillips, CO",4356,1.9054178145087235
265,184,"Pitkin, CO",17379,1.0587490649634617
266,290,"Prowers, CO",12291,2.3594500040680173
267,4176,"Pueblo, CO",161451,2.586543285578906
268,134,"Rio Blanco, CO",6807,1.9685617746437492
269,157,"Rio Grande, CO",11803,1.3301702956875372
270,76,"Routt, CO",23513,0.3232254497512015
271,180,"Saguache, CO",6208,2.899484536082474
272,25,"San Juan, CO",692,3.6127167630057806
273,60,"San Miguel, CO",7678,0.7814535035165407
274,21,"Sedgwick, CO",2360,0.8898305084745763
275,267,"Summit, CO",28649,0.9319697022583685
276,666,"Teller, CO",23275,2.861439312567132
277,73,"Washington, CO",4803,1.5198834062044555
278,6837,"Weld, CO",269785,2.5342402283299665
279,99,"Yuma, CO",10151,0.9752733720815683
280,17445,"Fairfield, CT",939904,1.856040616914068
281,15146,"Hartford, CT",898272,1.6861262512913682
282,2845,"Litchfield, CT",186924,1.522008944811795
283,1659,"Middlesex, CT",165562,1.0020415312692526
284,17001,"New Haven, CT",862287,1.9716173385427356
285,5080,"New London, CT",274150,1.8530001823819076
286,1610,"Tolland, CT",151377,1.0635697629098213
287,2470,"Windham, CT",117604,2.1002686983435934
288,5433,"Kent, DE",169416,3.206898994191812
289,13022,"New Castle, DE",549684,2.3689974603590427
290,4913,"Sussex, DE",206649,2.377461299111053
291,11063,"District of Columbia, DC",646449,1.7113492324993929
292,3701,"Alachua, FL",253451,1.4602428082745778
293,1095,"Baker, FL",27013,4.0536038203827784
294,4694,"Bay, FL",174987,2.682484984598856
295,707,"Bradford, FL",26850,2.633147113594041
296,11622,"Brevard, FL",550823,2.1099336810554385
297,53809,"Broward, FL",1838844,2.9262406163872523
298,414,"Calhoun, FL",14682,2.819779321618308
299,2899,"Charlotte, FL",164736,1.7597853535353536
300,3044,"Citrus, FL",139271,2.185666793517674
301,6183,"Clay, FL",196399,3.1481830355551708
302,7849,"Collier, FL",339642,2.3109627195694293
303,1842,"Columbia, FL",67543,2.727151592318967
304,748,"DeSoto, FL",34517,2.167048121215633
305,332,"Dixie, FL",15940,2.082810539523212
306,19058,"Duval, FL",885855,2.1513678875210953
307,4845,"Escambia, FL",305817,1.5842807953776277
308,2262,"Flagler, FL",99956,2.2629957181159712
309,225,"Franklin, FL",11598,1.939989653388515
310,1363,"Gadsden, FL",46194,2.950599644975538
311,421,"Gilchrist, FL",16931,2.4865631090898352
312,290,"Glades, FL",13345,2.173098538778569
313,478,"Gulf, FL",15829,3.019773832838461
314,564,"Hamilton, FL",14354,3.929218336352237
315,768,"Hardee, FL",27519,2.7907990842690507
316,1528,"Hendry, FL",37471,4.077820180939927
317,4164,"Hernando, FL",174441,2.387053502330301
318,1700,"Highlands, FL",97616,1.7415177839698408
319,30587,"Hillsborough, FL",1291578,2.3681883711243144
320,344,"Holmes, FL",19717,1.7446873256580615
321,2967,"Indian River, FL",141994,2.0895249095032185
322,990,"Jackson, FL",48922,2.023629450962757
323,297,"Jefferson, FL",14194,2.092433422572918
324,341,"Lafayette, FL",8848,3.853978300180832
325,7513,"Lake, FL",308034,2.4390164722076135
326,15703,"Lee, FL",661115,2.3752297255394295
327,3953,"Leon, FL",281845,1.4025439514626834
328,1152,"Levy, FL",39644,2.9058621733427508
329,219,"Liberty, FL",8349,2.623068630973769
330,413,"Madison, FL",18728,2.2052541648868007
331,8229,"Manatee, FL",342106,2.4053948191496204
332,6318,"Marion, FL",337362,1.8727657531079374
333,2402,"Martin, FL",151263,1.587962687504545
334,93159,"Miami-Dade, FL",2617176,3.5595237003548865
335,835,"Monroe, FL",76351,1.0936333512331207
336,1612,"Nassau, FL",75710,2.1291771232333905
337,3767,"Okaloosa, FL",193811,1.943646129476655
338,763,"Okeechobee, FL",39330,1.9399949148232902
339,31614,"Orange, FL",1225267,2.580172321624593
340,11065,"Osceola, FL",298504,3.706817999088789
341,31841,"Palm Beach, FL",1372171,2.320483379986897
342,11319,"Pasco, FL",475502,2.3804316280478317
343,16585,"Pinellas, FL",929048,1.7851607236655156
344,19044,"Polk, FL",623009,3.056777670948574
345,1889,"Putnam, FL",72577,2.6027529382586767
346,4137,"St. Johns, FL",209647,1.973317051996928
347,8587,"St. Lucie, FL",286832,2.9937384950075305
348,3854,"Santa Rosa, FL",161096,2.392362318120872
349,6784,"Sarasota, FL",390429,1.7375758460565174
350,8071,"Seminole, FL",436041,1.8509727296286356
351,1069,"Sumter, FL",107056,0.9985428187117023
352,1091,"Suwannee, FL",43734,2.494626606301733
353,417,"Taylor, FL",22857,1.8243864024150152
354,249,"Union, FL",15136,1.6450845665961944
355,10616,"Volusia, FL",500800,2.119808306709265
356,622,"Wakulla, FL",31022,2.0050286893172586
357,1262,"Walton, FL",59807,2.110120888859164
358,652,"Washington, FL",24624,2.6478232618583495
359,486,"Appling, GA",18440,2.6355748373101955
360,369,"Atkinson, GA",8290,4.451145958986731
361,295,"Bacon, GA",11216,2.630171184022825
362,138,"Baker, GA",3341,4.130499850344208
363,777,"Baldwin, GA",46039,1.6876995590694845
364,643,"Banks, GA",18415,3.491718707575346
365,2431,"Barrow, GA",71453,3.4022364351391823
366,3438,"Bartow, GA",101273,3.3947843946560288
367,541,"Ben Hill, GA",17515,3.0887810448187265
368,562,"Berrien, GA",19048,2.9504409911801766
369,3175,"Bibb, GA",154721,2.0520808422903163
370,456,"Bleckley, GA",12771,3.570589617101245
371,656,"Brantley, GA",18292,3.586267220642904
372,461,"Brooks, GA",15516,2.97112657901521
373,957,"Bryan, GA",33157,2.8862683596224024
374,1352,"Bulloch, GA",71214,1.8985031033223805
375,652,"Burke, GA",22923,2.844304846660559
376,762,"Butts, GA",23361,3.261846667522794
377,172,"Calhoun, GA",6523,2.6368235474474937
378,743,"Camden, GA",51476,1.443391094879167
379,416,"Candler, GA",10937,3.8036024503977326
380,3176,"Carroll, GA",112355,2.826754483556584
381,1659,"Catoosa, GA",65311,2.5401540322457166
382,234,"Charlton, GA",13255,1.765371557902678
383,7074,"Chatham, GA",278434,2.540637996796368
384,28,"Chattahoochee, GA",12842,0.2180345740538857
385,897,"Chattooga, GA",25138,3.5683029676187443
386,5219,"Cherokee, GA",225106,2.3184633017334058
387,1597,"Clarke, GA",121265,1.316950480352946
388,167,"Clay, GA",3045,5.48440065681445
389,9393,"Clayton, GA",264220,3.554992052077814
390,153,"Clinch, GA",6795,2.251655629139073
391,14409,"Cobb, GA",717190,2.009091035848241
392,1461,"Coffee, GA",43220,3.3803794539565017
393,1096,"Colquitt, GA",46275,2.3684494867639114
394,3424,"Columbia, GA",135416,2.5285047557157205
395,394,"Cook, GA",17066,2.3086839329661313
396,3151,"Coweta, GA",133180,2.365970866496471
397,342,"Crawford, GA",12504,2.735124760076775
398,704,"Crisp, GA",23336,3.016798080219403
399,450,"Dade, GA",16507,2.726116193130187
400,648,"Dawson, GA",22686,2.856387199153663
401,1006,"Decatur, GA",27359,3.6770349793486603
402,18924,"DeKalb, GA",713340,2.6528724030616537
403,491,"Dodge, GA",21221,2.3137458178219688
404,534,"Dooly, GA",14304,3.7332214765100673
405,2422,"Dougherty, GA",92969,2.6051694650905137
406,4384,"Douglas, GA",136379,3.214571158316163
407,428,"Early, GA",10542,4.05995067349649
408,104,"Echols, GA",4057,2.563470544737491
409,1530,"Effingham, GA",54456,2.8096077567210225
410,684,"Elbert, GA",19599,3.489973978264197
411,591,"Emanuel, GA",22867,2.5845104298771155
412,316,"Evans, GA",10833,2.917012831164036
413,454,"Fannin, GA",23760,1.910774410774411
414,2261,"Fayette, GA",108365,2.0864670327135144
415,2345,"Floyd, GA",95821,2.447271474937644
416,3970,"Forsyth, GA",195405,2.0316777973951536
417,865,"Franklin, GA",22009,3.9302103684856196
418,17268,"Fulton, GA",984293,1.7543556644210616
419,905,"Gilmer, GA",28579,3.1666608348787575
420,33,"Glascock, GA",3102,1.0638297872340425
421,2524,"Glynn, GA",81508,3.0966285517985965
422,1515,"Gordon, GA",55757,2.717147622720017
423,463,"Grady, GA",25278,1.8316322493868185
424,390,"Greene, GA",16321,2.389559463268182
425,24144,"Gwinnett, GA",859304,2.8097157699719775
426,972,"Habersham, GA",43300,2.2448036951501154
427,5790,"Hall, GA",187745,3.083970278835655
428,100,"Hancock, GA",8879,1.1262529564140107
429,1003,"Haralson, GA",28495,3.5199157746973153
430,958,"Harris, GA",32663,2.9329822735204973
431,1308,"Hart, GA",25446,5.140297099740628
432,431,"Heard, GA",11558,3.729018861394705
433,6795,"Henry, GA",211128,3.2184267363874044
434,3493,"Houston, GA",147658,2.3656015928700107
435,205,"Irwin, GA",9427,2.1746048583854884
436,1791,"Jackson, GA",61044,2.933949282484765
437,485,"Jasper, GA",13601,3.565914271009485
438,644,"Jeff Davis, GA",15004,4.292188749666756
439,426,"Jefferson, GA",16320,2.610294117647059
440,266,"Jenkins, GA",9269,2.8697809903981013
441,230,"Johnson, GA",9767,2.3548684345244193
442,884,"Jones, GA",28569,3.0942630123560506
443,518,"Lamar, GA",17959,2.884347680828554
444,323,"Lanier, GA",10408,3.1033820138355113
445,1086,"Laurens, GA",47999,2.2625471363986747
446,831,"Lee, GA",29071,2.858518798802931
447,1189,"Liberty, GA",64135,1.8539019256256335
448,296,"Lincoln, GA",7751,3.81886208231196
449,568,"Long, GA",16624,3.4167468719923004
450,2560,"Lowndes, GA",112916,2.2671720571043963
451,765,"Lumpkin, GA",30918,2.4742868232097806
452,538,"McDuffie, GA",21565,2.494783213540459
453,764,"McIntosh, GA",14007,5.4544156493181974
454,302,"Macon, GA",14009,2.1557570133485617
455,991,"Madison, GA",28057,3.532095377267705
456,226,"Marion, GA",8640,2.6157407407407405
457,714,"Meriwether, GA",21232,3.36284853051997
458,180,"Miller, GA",5932,3.034389750505732
459,540,"Mitchell, GA",23045,2.34324148405294
460,850,"Monroe, GA",26984,3.15001482359917
461,350,"Montgomery, GA",9021,3.879835938366035
462,485,"Morgan, GA",17781,2.7276306169506777
463,1230,"Murray, GA",39267,3.132401252960501
464,4440,"Muscogee, GA",202824,2.1890900485149687
465,3461,"Newton, GA",102446,3.378365187513422
466,642,"Oconee, GA",34035,1.886293521375055
467,518,"Oglethorpe, GA",14548,3.560626890294199
468,3753,"Paulding, GA",146950,2.5539299081320177
469,842,"Peach, GA",27014,3.1169023469312207
470,909,"Pickens, GA",29584,3.0726068144943213
471,544,"Pierce, GA",18938,2.872531418312388
472,459,"Pike, GA",17796,2.579231287929872
473,1078,"Polk, GA",41183,2.617584925818906
474,301,"Pulaski, GA",11542,2.6078669208109515
475,390,"Putnam, GA",21371,1.8249029058069348
476,109,"Quitman, GA",2367,4.604985213350233
477,507,"Rabun, GA",16235,3.1228826609177704
478,181,"Randolph, GA",7197,2.5149367792135613
479,6247,"Richmond, GA",202003,3.0925283287871963
480,2964,"Rockdale, GA",86919,3.410071445828875
481,164,"Schley, GA",5089,3.2226370603261936
482,603,"Screven, GA",14240,4.234550561797753
483,283,"Seminole, GA",8945,3.163778647288988
484,1961,"Spalding, GA",63829,3.072271224678438
485,1241,"Stephens, GA",25683,4.831990032317097
486,47,"Stewart, GA",5868,0.8009543285616906
487,880,"Sumter, GA",31364,2.805764570845555
488,289,"Talbot, GA",6456,4.476456009913259
489,73,"Taliaferro, GA",1703,4.286553141514974
490,387,"Tattnall, GA",25526,1.5161012301183108
491,391,"Taylor, GA",8464,4.619565217391304
492,294,"Telfair, GA",16591,1.7720450846844678
493,346,"Terrell, GA",9022,3.8350698293061405
494,1632,"Thomas, GA",44869,3.6372551204617887
495,856,"Tift, GA",40286,2.1248076254778336
496,888,"Toombs, GA",27273,3.2559674403255965
497,125,"Towns, GA",10771,1.1605236282610714
498,163,"Treutlen, GA",6712,2.428486293206198
499,2094,"Troup, GA",69053,3.0324533329471564
500,201,"Turner, GA",8134,2.47110892549791
501,348,"Twiggs, GA",8481,4.103289706402547
502,610,"Union, GA",21566,2.828526384123157
503,618,"Upson, GA",26566,2.326281713468343
504,2242,"Walker, GA",68198,3.2874864365523915
505,2886,"Walton, GA",85754,3.365440679151993
506,1386,"Ware, GA",35709,3.8813744434176254
507,204,"Warren, GA",5558,3.6703850305865418
508,879,"Washington, GA",20676,4.2513058618688335
509,617,"Wayne, GA",30077,2.0514014030654653
510,97,"Webster, GA",2719,3.567488047076131
511,197,"Wheeler, GA",7909,2.4908332279681376
512,626,"White, GA",27797,2.2520415872216426
513,3425,"Whitfield, GA",102945,3.327019282140949
514,109,"Wilcox, GA",8960,1.2165178571428572
515,338,"Wilkes, GA",10010,3.3766233766233764
516,220,"Wilkinson, GA",9432,2.3324851569126377
517,579,"Worth, GA",21291,2.7194589263068902
518,6552,"Hawaii, HI",190821,3.43358435392331
519,40420,"Honolulu, HI",983429,4.11010860977254
520,0,"Kalawao, HI",90,0.0
521,2753,"Kauai, HI",69512,3.960467257451951
522,7062,"Maui, HI",160202,4.408184666858092
523,5629,"Ada, ID",416464,1.351617426716355
524,27,"Adams, ID",3828,0.7053291536050157
525,1370,"Bannock, ID",83249,1.6456654133983593
526,53,"Bear Lake, ID",5943,0.8918054854450614
527,203,"Benewah, ID",9044,2.244582043343653
528,942,"Bingham, ID",45290,2.0799293442260987
529,654,"Blaine, ID",21329,3.066247831590792
530,108,"Boise, ID",6795,1.5894039735099337
531,666,"Bonner, ID",40699,1.6364038428462617
532,2153,"Bonneville, ID",107517,2.0024740273631148
533,369,"Boundary, ID",10853,3.3999815719155992
534,62,"Butte, ID",2642,2.34670704012112
535,9,"Camas, ID",1042,0.8637236084452975
536,5201,"Canyon, ID",198871,2.615263160541255
537,60,"Caribou, ID",6808,0.881316098707403
538,421,"Cassia, ID",23331,1.8044661609018045
539,10,"Clark, ID",867,1.1534025374855825
540,97,"Clearwater, ID",8577,1.130931561151918
541,0,"Custer, ID",4249,0.0
542,321,"Elmore, ID",26170,1.226595338173481
543,185,"Franklin, ID",12854,1.4392407032830246
544,319,"Fremont, ID",12927,2.4677032567494392
545,303,"Gem, ID",16686,1.815893563466379
546,408,"Gooding, ID",15080,2.7055702917771884
547,327,"Idaho, ID",16116,2.0290394638868205
548,461,"Jefferson, ID",26914,1.7128631938767926
549,447,"Jerome, ID",22514,1.985431287199076
550,2084,"Kootenai, ID",144265,1.444563823519218
551,297,"Latah, ID",38078,0.7799779400178581
552,63,"Lemhi, ID",7712,0.8169087136929462
553,63,"Lewis, ID",3902,1.6145566376217324
554,110,"Lincoln, ID",5315,2.06961429915334
